H2,CO2,CH4,H2O,Ar
244.0678803,48.11779007,114.6833032,246.5655132,50
246.5493757,47.9684965,113.8063736,245.8378771,50
263.3115922,49.62852346,108.7723104,239.143787,50
287.1697865,53.52150387,102.1172391,228.5957352,50
74.42603407,18.60650852,161.3934915,299.9415298,50
122.0626281,29.89008324,149.2758184,299.3857351,50
162.6762679,37.91615716,138.4132964,280.4971393,50
0.53820537,0.134551342,35.86544866,71.73089732,10
0,0,36,72,10
0.34937732,0.08734433,35.91265567,71.82531134,10
5.512530677,1.235606019,34.57435845,69.33875243,10
51.71482358,12.9287059,6.471294104,12.94258821,1.98
201.5381798,50.33454494,7.465455058,14.93091012,5.9
512.5165398,128.179135,6.520865049,13.0417301,13.7
751.5357685,187.9339421,5.166057882,10.33211576,19.7
69.79173478,19.15168074,0.634348653,1.271367917,1.8309
101.1007493,26.27683023,0.594993642,1.192963412,2.63714
308.4824358,77.99362577,0.500729988,1.009204218,8.07926
514.2879213,129.567904,0.549394226,1.110890202,13.52138
720.4533608,181.2350612,0.509033458,1.030672276,18.9635
21.03708372,5.234270931,90.96572907,181.9314581,9.8
12.59698139,3.124245348,93.07575465,186.1515093,9.8
6.869212086,1.692303022,94.50769698,189.015394,9.8
71.92811722,17.98202931,1.417970694,2.835941389,2
0.936859251,0.234214813,19.16578519,38.33157037,2
5.646348096,1.386587024,94.81341298,189.626826,9.8
18.59988576,4.54997144,188.5500286,377.1000571,19.7
9.490,2.320,33.610,67.290,10
211.480,40.600,123.040,262.440,50
10.860,2.650,33.260,66.620,10
218.210,41.200,120.990,259.800,50
98.49372876,24.62343219,475.3765678,450.7531356,50
83.72496847,20.93124212,479.0687579,208.1375158,300
74.15545209,18.53886302,481.461137,129.622274,383.3
68.16186073,17.04046518,482.9595348,90.91906963,425
60.63990101,15.15997525,484.8400247,69.68004949,450
49.26654608,12.31663652,487.6833635,75.36672696,487.5
63.58153601,15.895384,484.104616,468.209232,50
58.5134463,14.62836158,485.3716384,220.7432768,300
78.77608517,19.69402129,480.3059787,127.3119574,383.3
45.88668318,11.4716708,488.5283292,77.05665841,450
40.13217357,10.03304339,489.9669566,79.93391322,487.5
12.5318345,3.132958625,246.8670414,493.7340828,300
10.42145724,2.605364311,197.3946357,494.7892714,350
8.496604761,2.12415119,147.8758488,495.7516976,400
6.500527966,1.625131991,98.37486801,496.749736,450
2.702277574,0.675569393,49.32443061,498.6488612,500
0,0,25,500,525
87.47916742,21.86979185,228.1302081,456.2604163,300
64.12694821,16.03173705,183.9682629,467.9365259,350
76.74004961,19.1850124,130.8149876,461.6299752,400
41.45314143,10.36328536,14.63671464,479.2734293,525
72.30330683,18.07582671,231.9241733,463.8483466,300
40.16199834,10.04049958,189.9595004,479.9190008,350
39.60464079,9.901160197,140.0988398,480.1976796,400
34.37233485,8.593083714,91.40691629,482.8138326,450
25.60490789,6.401226972,43.59877303,487.1975461,500
34.65496177,8.663740442,41.33625956,482.6725191,525
69.99294849,17.49823712,232.5017629,465.0035258,300
39.20751657,9.801879142,190.1981209,480.3962417,350
20.6014532,5.1503633,144.8496367,489.6992734,400
17.21382226,4.303455564,95.69654444,491.3930889,450
12.39171008,3.097927519,46.90207248,493.804145,500
15.74090799,3.935226997,46.064773,492.129546,525
124.87,29.85,148.33,298.48,50.00
356.2188792,89.02971981,7.170280189,14.34056038,9.8
48.67070052,12.16767513,487.8323249,100.6646497,425
53.19,13.30,86.70,473.40,450.00
