H2,CO2,CH4,H2O,Ar
0.338685221,0.066771524,0.159142366,0.342151107,0.069383407
0.341298071,0.066402745,0.157542057,0.340313144,0.069214953
0.359491649,0.067756378,0.148503668,0.326496048,0.068263544
0.385067127,0.071767201,0.136929418,0.306524945,0.067045202
0.12314697,0.030786742,0.267045257,0.49628992,0.082731111
0.187371149,0.045882506,0.229144514,0.459569403,0.076752054
0.241655814,0.056324502,0.205613138,0.416678877,0.074275067
0.004550684,0.001137671,0.303252902,0.606505805,0.084552937
0,0,0.305084746,0.610169492,0.084745763
0.002956448,0.000739112,0.30389465,0.6077893,0.084620489
0.045614168,0.010224186,0.286090123,0.57375272,0.082746329
0.601074,0.150268,0.075215,0.150430,0.023013
0.719344807,0.179657738,0.026646248,0.053292496,0.021058711
0.760457379,0.190188533,0.009675473,0.019350946,0.020327668
0.771068567,0.192818441,0.005300326,0.010600653,0.020212013
0.753017907,0.206637055,0.006844305,0.013717424,0.019754495
0.767044108,0.19936042,0.004514174,0.009050928,0.020007791
0.778852474,0.1969173,0.001264237,0.002548026,0.020398411
0.780347834,0.19659811,0.000833616,0.001685594,0.020516483
0.781229727,0.196523779,0.000551975,0.001117618,0.020563232
0.068088109,0.016941113,0.294417446,0.588834893,0.031718439
0.041335665,0.010251881,0.305418263,0.610836526,0.032157665
0.02275443,0.005605794,0.313059014,0.626118027,0.032462735
0.747972977,0.186993244,0.014745329,0.029490658,0.020797791
0.015442286,0.003860572,0.315910356,0.631820712,0.032966075
0.018741622,0.004602424,0.314709112,0.629418223,0.032528618
0.030566783,0.007477357,0.309860388,0.619720777,0.032374695
0.077292719,0.018895586,0.273741652,0.548053429,0.08144649
0.300427599,0.057676189,0.174790107,0.372821161,0.07102979
0.087949466,0.021460965,0.269355361,0.53952057,0.080984775
0.308201862,0.058191268,0.170887417,0.36694397,0.070620471
0.0896011,0.022400275,0.432456606,0.410056331,0.045485688
0.076680873,0.019170218,0.438762907,0.190626126,0.274759875
0.068215409,0.017053852,0.44289486,0.119239196,0.352596683
0.062875251,0.015718813,0.445501366,0.083867419,0.392037152
0.056131428,0.014032857,0.448792994,0.064499456,0.416543266
0.044299139,0.011074785,0.43851162,0.067767712,0.438346745
0.058774338,0.014693584,0.447503002,0.432809417,0.046219659
0.05421643,0.013554107,0.449727695,0.204532686,0.277969081
0.072312236,0.018078059,0.440895218,0.116865573,0.351848914
0.042767107,0.010691777,0.455316055,0.071818013,0.419407048
0.036234563,0.009058641,0.442381689,0.072170784,0.440154322
0.01186428,0.00296607,0.233716754,0.467433508,0.284019389
0.009876186,0.002469046,0.187066555,0.46890091,0.331687302
0.008059396,0.002014849,0.140266623,0.470241874,0.379417258
0.006171874,0.001542969,0.093401228,0.471635045,0.427248884
0.00257029,0.000642573,0.046915278,0.474293357,0.475578502
0,0,0.023809524,0.476190476,0.5
0.079981715,0.019995429,0.208578177,0.417156353,0.274288326
0.059263573,0.014815893,0.170016147,0.432448315,0.323456071
0.070509154,0.017627288,0.120193486,0.424148005,0.367522066
0.038714965,0.009678741,0.01366989,0.447615145,0.490321259
0.066568335,0.016642084,0.213528353,0.427056705,0.276204524
0.037531737,0.009382934,0.177518805,0.44848848,0.327078044
0.037020522,0.009255131,0.130957689,0.448865805,0.373900853
0.032208377,0.008052094,0.085652269,0.452417626,0.421669633
0.024091879,0.00602297,0.041022462,0.458408375,0.470454315
0.031725799,0.00793145,0.037842369,0.441875287,0.480625096
0.06450984,0.01612746,0.214288035,0.428576071,0.276498594
0.036656113,0.009164028,0.177821104,0.449134774,0.327223981
0.019429821,0.004857455,0.136611843,0.461849418,0.377251463
0.016260826,0.004065206,0.090398564,0.464188438,0.425086966
0.011732398,0.002933099,0.044406605,0.467530849,0.473397048
0.01453628,0.00363407,0.042539505,0.454467609,0.484822536
0.19112,0.04568,0.22702,0.45685,0.07653
0.747480481,0.186817661,0.01504593,0.030091861,0.020564066
0.04530308,0.01132577,0.454078258,0.093699467,0.395593424
0.04941,0.01235,0.08053,0.43972,0.41798
